,CLM GSWP3,CLM CRUNCEP,CLM CRUJRA,CLM CRUJRA fch4max,CLM CRUJRA q10ch4min,CLM CRUJRA q10ch4max,CLM CRUJRA fch4max_q10ch4max,VISIT-CAO,VISIT-VH,Zhang-MERRA2,Zhang-CRU
1950,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1951,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1952,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1953,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1954,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1955,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1956,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1957,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1958,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1959,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1960,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1961,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1962,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1963,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1964,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1965,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1966,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1967,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1968,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1969,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1970,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1971,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1972,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1973,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1974,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1975,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1976,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1977,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1978,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1979,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
1980,215.0,215.0,215.0,215.0,215.0,215.0,215.0,213.46581505527288,210.94999730878948,215.0,215.0
1981,215.0,215.0,215.0,215.0,215.0,215.0,215.0,209.98540094753463,207.46940093654123,215.0,215.0
1982,215.0,215.0,215.0,215.0,215.0,215.0,215.0,207.34999122653096,196.9955325905592,215.0,215.0
1983,215.0,215.0,215.0,215.0,215.0,215.0,215.0,218.54420775574664,201.33424834490552,215.0,215.0
1984,215.0,215.0,215.0,215.0,215.0,215.0,215.0,216.13469029654323,214.1098013886646,215.0,215.0
1985,215.0,215.0,215.0,215.0,215.0,215.0,215.0,218.5274749956133,211.6878195812476,215.0,215.0
1986,215.0,215.0,215.0,215.0,215.0,215.0,215.0,212.30288822600457,211.8802949566715,215.0,215.0
1987,215.0,215.0,215.0,215.0,215.0,215.0,215.0,207.81014213019827,203.0665267237203,215.0,215.0
1988,215.0,215.0,215.0,215.0,215.0,215.0,215.0,212.7546727496052,213.4200979600624,215.0,215.0
1989,215.0,215.0,215.0,215.0,215.0,215.0,215.0,213.67497455693984,215.39297055815703,215.0,215.0
1990,213.229158495527,200.3301288457454,204.646474432954,203.4604650350824,207.13777445155316,195.859372138931,196.74772668865427,211.0981294964029,213.067226438452,215.0,215.0
1991,230.46401973376055,199.7503266400383,202.8490847864116,203.86480763910888,206.4189161040385,196.4677865234781,198.2364378165914,210.3200561502018,208.59217395984717,215.0,215.0
1992,187.08466023758425,184.67510149951383,190.51506057038983,192.99593815610623,194.53550769894048,186.22954503459533,187.79558900194488,198.5903912967187,188.55869530114643,215.0,215.0
1993,201.07742439463692,197.36691793433437,195.3330359213366,197.53013600762725,199.9311640200513,187.33483185418652,189.79585223160905,204.7145815055273,202.27256580009688,215.0,215.0
1994,209.91391164352387,206.86238646048096,199.90276569546643,201.6702175992425,202.9940352402028,194.24032411385,197.35571953699665,209.4666853834006,205.68900371387048,215.0,215.0
1995,200.85765603448095,201.7570917407637,196.32841195227857,198.42425222373905,197.44693511447775,196.26542045954335,197.11477002867335,208.72207755746624,201.59890198611336,215.0,215.0
1996,212.4591393800404,213.15982548765285,207.46436651190697,207.9861831643593,207.20103192719463,208.3748607752008,209.69448889653663,212.42838392700477,211.8482157274342,215.0,215.0
1997,217.02081046246136,219.11808678658687,215.069403551697,214.82762962942095,217.73968242650653,210.5739774026657,210.47768420635288,213.7837374978066,205.35217180687872,215.0,215.0
1998,202.568436978653,212.25503626636817,211.19685718568465,212.4890446999636,212.1138313815474,209.1911838875435,209.4890943325314,222.52660466748551,214.55891059798697,215.0,215.0
1999,215.7880686690069,221.87093317633915,218.01274748085203,217.9089641525754,216.9965603118312,217.52201870655188,218.13505086211853,211.5666467801369,223.82980784756984,215.0,215.0
